Time (s),Position Error (m),X Error (m),Y Error (m),Theta Error (deg),Uncertainty X (m),Uncertainty Y (m),Uncertainty Theta (deg),Landmarks Mapped,Landmarks Detected,Loop Closures,Laps Completed
0.0,0.0,0.0,0.0,0.0,0.8660254037844386,0.8697715217228028,18.689317687953448,0,4,0,0
0.017,0.0,0.0,0.0,0.0,1.0,1.013126921959929,19.24319506426427,4,4,0,0
0.034,0.0,0.0,0.0,0.0,1.118033988749895,1.1448158367178538,19.781570132863568,4,4,0,0
0.051000000000000004,0.22835385073927403,-0.18629286216902585,-0.13206229837590655,1.63230308382811,0.9697816417428428,1.1400457695658186,2.3615631777040904,4,4,0,0
0.068,0.22551132239923605,-0.1863652949547543,-0.12697768846013702,1.63230308382811,1.0910919525329381,1.2416138644585755,5.156252639501191,4,4,0,0
0.085,0.9281314296138481,-0.17024351189290599,0.9123842925518915,-0.2611448743088816,0.9692467907620163,1.0418567036993083,1.4768314378040146,4,4,0,0
0.10200000000000001,0.9273320142077071,-0.17024536595903328,0.9115707213069086,-0.2611448743088816,1.0906139629520333,1.154401503496803,4.815702621192616,4,4,0,0
0.11900000000000001,0.42468381925796833,-0.16797015274167393,0.3900543220212711,-2.8846639861655645,0.969417765155385,1.0152376635272389,1.2806431699056675,4,4,0,0
0.136,0.41305995566259307,-0.16829327259675608,0.37722128965722135,-2.8846639861655645,1.0907607825418193,1.1305852837929247,4.7592024088812614,4,4,0,0
0.15300000000000002,0.37429455133398487,-0.05230996677912003,0.3706212062657457,0.19761982028146644,0.9692078831930421,1.0080494793262647,1.2219869244367856,4,4,0,0
0.17000000000000004,0.3751656742521537,-0.05231148356922688,0.3715007292373187,0.19761982028146644,1.0905798433299156,1.1243076183375382,4.743755124747654,4,4,0,0
0.18700000000000006,0.3401257269426388,-0.04318735558871367,0.33737273518396904,-0.43137382692375015,0.9692152338598377,1.0040881471867014,1.2058333051966372,4,4,0,0
0.20400000000000007,0.3382224273230004,-0.043194582794995995,0.335452885457002,-0.43137382692375015,1.0905856755830332,1.1208313848076403,4.739619668285274,4,4,0,0
0.22100000000000009,0.2769878622608405,-0.08572852909915696,0.26338734809843345,-2.339444299395331,0.9691681269160769,0.9983293314349609,1.1706158389843373,4,4,0,0
0.2380000000000001,0.2671776640643935,-0.08594106387482725,0.2529783344774188,-2.339444299395331,1.0905425003840543,1.1158066833345857,4.7307823964494675,4,4,0,0
0.2550000000000001,0.37989560179903387,-0.07227351753741118,0.3729573795073904,-1.4822489068047775,0.9691611843267522,0.997594773301925,1.1717743582877194,4,4,0,0
0.27200000000000013,0.3734385570479103,-0.07235884384959945,0.36636123376631247,-1.4822489068047775,1.0905367820825875,1.1151558747005843,4.731069201228804,4,4,0,0
0.28900000000000015,0.33844732706166625,-0.04102986491248828,0.33595110266294625,-1.8748535748584532,0.9691815414909377,0.9954830744948189,1.1663142713164594,4,4,0,0
0.30600000000000016,0.3301846848888168,-0.04116637378453447,0.32760838787271496,-1.8748535748584532,1.0905543902541535,1.1133064546095963,4.729719824635663,4,4,0,0
0.3230000000000002,0.4601115397772581,-0.08381930841075302,0.45241237004943,-2.129554912619672,0.9692244178011356,0.9938277847525224,1.1620554355548967,4,4,0,0
0.3400000000000002,0.4508305883988023,-0.08399542189522435,0.442936777132644,-2.129554912619672,1.0905918749177737,1.1118580941667568,4.728671428147429,4,4,0,0
0.3570000000000002,0.42808262138718767,-0.06619904653928188,0.42293311169854775,-1.395521851604356,0.9691692727377313,0.991687456564574,1.1525455285665005,4,4,0,0
0.3740000000000002,0.42196001105867137,-0.06627468048060337,0.4167228307398432,-1.3955218516043557,1.090543979752236,1.1099921579881442,4.726343389502481,4,4,0,0
0.39100000000000024,0.22551934039497487,0.017529641109149452,0.22483701780349463,-1.5831697446654442,0.9691758944961919,0.989489080109247,1.1466559223673685,4,4,0,0
0.40800000000000025,0.22059759079234156,0.017461502966511944,0.21990541825415733,-1.5831697446654442,1.0905501584851485,1.1082421273935514,4.724910628189207,4,4,0,0
0.42500000000000027,0.04723624787602632,-0.04497546933087904,0.01443849964063304,0.8132986360529629,0.9691218201244914,0.9878396273410991,1.1392301160145444,4,4,0,0
0.4420000000000003,0.048489143017004875,-0.045001158952970854,0.018058036532607957,0.8132986360529629,1.0905037028025066,1.1066387387959113,4.723114004267701,4,4,0,0
0.4590000000000003,0.22515051190856894,-0.09675689657323971,0.20329991632611666,-3.5261470004768234,0.9691092428396777,0.9864728023792192,1.1319611580910913,4,4,0,0
0.4760000000000003,0.2113183835767543,-0.09723965367076914,0.1876163878542627,-3.526147000476824,1.0904898773883769,1.105452487862469,4.721365978559816,4,4,0,0
0.4930000000000003,0.21660539411385055,-0.03014738500904457,0.21449716067196078,-1.149377924338283,0.9691063762889851,0.9849210492032255,1.1223058313620766,4,4,0,0
0.5100000000000003,0.21154862897293558,-0.030198691942572964,0.20938209432825516,-1.149377924338283,1.0904887491896187,1.104107281490713,4.719060395797502,4,4,0,0
0.5270000000000004,0.2346191572563262,-0.10814110230319329,0.20821059277644594,-2.4294492623337565,0.969102557596135,0.9835330159577532,1.1112627047008368,4,4,0,0
0.5440000000000004,0.2251919533498278,-0.10837030278015902,0.1974013508789838,-2.4294492623337565,1.0904846756492856,1.102908923295382,4.7164462722408045,4,4,0,0
0.5610000000000004,0.11593598893863608,-0.07656474078490305,0.08705741783283116,-1.654495779049801,0.9690881833881061,0.9828219781923301,1.1107075246358884,4,4,0,0
0.5780000000000004,0.11216851549715386,-0.07663915640566188,0.0819036969511373,-1.6544957790498007,1.0904726818238826,1.1024101030021909,4.716315494679925,4,4,0,0
0.5950000000000004,0.23073432028297788,-0.05045677744602983,0.22514981715784188,-0.8334200513151324,0.969091470611639,0.9815023857437587,1.1005125321712108,4,4,0,0
0.6120000000000004,0.2271224550069341,-0.050483753918072694,0.22144073735136516,-0.8334200513151324,1.0904758347406345,1.1011526107008422,4.713924954169408,4,4,0,0
0.6290000000000004,0.16994860394828135,-0.021947009055082844,-0.1685255374639283,-1.7552242143783314,0.9690897026522195,0.9798707806557247,1.0846250062975722,4,4,0,0
0.6460000000000005,0.17771144251497611,-0.02206665449712375,-0.1763360982897666,-1.7552242143783314,1.090474635337328,1.099751910212638,4.710241187493605,4,4,0,0
0.6630000000000005,0.1284674186120924,-0.08445608353856926,-0.09680417138832809,1.6806143522466261,0.9690899621516353,0.9793034358298942,1.0876623892524433,4,4,0,0
0.6800000000000005,0.12300576633439399,-0.08456577426625245,-0.08932551916591791,1.6806143522466261,1.0904748914575761,1.0992599698744197,4.710941531484921,4,4,0,0
0.6970000000000005,0.04404139125430454,0.029295486469933962,0.032884929923973516,-1.6880827738862787,0.9690855196995148,0.9787999235098171,1.0883793066008525,4,4,0,0
0.7140000000000005,0.03867228300811854,0.02918481874540646,0.025373053183599836,-1.6880827738862787,1.0904706747607742,1.0988257561313581,4.711107105035091,4,4,0,0
0.7310000000000005,0.14366286954473373,-0.06749273308311388,-0.12682172947408787,-1.2228513037526256,0.9690969362446054,0.977898262755207,1.0824494086395857,4,4,0,0
0.7480000000000006,0.14705526011488715,-0.06753338619320459,-0.13063112675291677,-1.2228513037526256,1.0904810771887286,1.0981292910291565,4.709740689500787,4,4,0,0
0.7650000000000006,0.20323932447996548,-0.002097081765356279,-0.20322850504577872,-0.44700364429744116,0.969107214105,0.9775224143428486,1.0790680996342112,4,4,0,0
0.7820000000000006,0.20522870863084033,-0.0021048421785394567,-0.20521791463146144,-0.44700364429744116,1.0904902486265482,1.0977331810065531,4.708964706145434,4,5,0,0
0.7990000000000006,0.14360862844881706,-0.09976325084365101,-0.10329923497324245,-0.6071378955036101,0.9690964988079744,0.9771099800280421,1.0817361800911136,5,5,0,0
