Time (s),Position Error (m),X Error (m),Y Error (m),Theta Error (deg),Uncertainty X (m),Uncertainty Y (m),Uncertainty Theta (deg),Landmarks Mapped,Landmarks Detected,Loop Closures,Laps Completed
0.0,0.004706764225858251,0.004706764225858251,0.0,0.43497221777940887,0.8660254037844386,0.8697715217228028,18.689317687953448,0,4,0,0
0.017,0.03230545958526561,0.03225927879675794,0.0017267456466640851,-1.0371671755361724,1.0,1.013126921959929,19.24319506426427,4,4,0,0
0.034,0.03612670975015798,-0.035889087479262116,-0.004136732681480737,-2.2929579005441476,1.1180339888728261,1.1448158363781225,19.781570132863568,4,4,0,0
0.051000000000000004,0.48574467060189735,0.06856446702590802,-0.48088127316376017,1.8067719443004406,0.9696498687468721,1.141633427728453,2.3621422300220813,4,4,0,0
0.068,0.49212748103734705,0.14259857588210423,-0.4710149718942702,-0.6697806972724093,1.0909823333234803,1.242598451937047,5.156517871095654,4,4,0,0
0.085,0.48721502738935873,0.0832674823027304,0.4800468824031441,-0.25483340893762885,0.9703343069150109,1.0016763856141495,1.0496622107789557,4,4,0,0
0.10200000000000001,0.5055589151376446,0.1469873182599173,0.48371948993803215,0.24583853306563047,1.091585469221111,1.1191148120789016,4.702313409037357,4,4,0,0
0.11900000000000001,0.7921125059062556,0.12414343083221979,0.7823238655405405,-3.1823316146064013,0.9699212290028048,0.9900625814464218,0.9736021180036423,4,4,0,0
0.136,0.7983942152281814,0.19262217637032109,0.7748096670022804,-1.4257105250291602,1.0912136502292928,1.1088552547939827,4.685921651527726,4,4,0,0
0.15300000000000002,0.6265681086353798,0.1518212937184984,0.6078962818874274,-1.2507568230597301,0.9696820725241061,0.9863459046080587,0.9436275646533677,4,4,0,0
0.17000000000000004,0.642495220646247,0.21259401643474973,0.6063034658728341,0.4229362602148088,1.091002226125948,1.1056001154644748,4.679785638343792,4,4,0,0
0.18700000000000006,0.7218889199496447,0.1246279163716224,0.7110495729602349,0.544791535872703,0.969440856067973,0.9856172835815851,0.9371936296371621,4,4,0,0
0.20400000000000007,0.7119370880416115,-0.061760391132153813,0.7092531786438272,1.3183598158621317,1.0907882057793994,1.1049002662694833,4.6784925499040435,4,4,0,0
0.22100000000000009,0.6239195848351504,0.07590533671570654,0.6192850944427306,-0.6910095821603883,0.9693828734443717,0.9837304197198529,0.9253456615445509,4,4,0,0
0.2380000000000001,0.6220551198972271,0.08679968674319127,0.61596946886322,1.2259728149008924,1.0907337014285372,1.1032534641252354,4.676133577370784,4,4,0,0
0.2550000000000001,0.5114349006019185,0.04074477585288605,0.5098092984581513,0.689187076640023,0.9693349552775057,0.9824553945364397,0.9183479415614862,4,4,0,0
0.27200000000000013,0.5149769735692736,-0.005731660102881619,0.5149450760799965,0.48478829709459487,1.0906911315103607,1.102184531121992,4.674753852540835,4,4,0,0
0.28900000000000015,0.48637070761757134,0.07925359015382583,0.4798701216747574,-5.297555704558813,0.9693127123648843,0.9816427478461274,0.9129865905639919,4,4,0,0
0.30600000000000016,0.46860625294062574,0.06590958429863747,0.4639480003110634,-4.332821723887489,1.0906693768798879,1.1014944751203235,4.673703580098424,4,4,0,0
0.3230000000000002,0.5666165256499983,0.10926201250586587,0.5559821038152606,-2.410896762917608,0.969265531721298,0.9811707966018023,0.9108430307500249,4,4,0,0
0.3400000000000002,0.5732603884456534,0.18622129340397464,0.5421707321903426,-2.9594982189718144,1.0906278498730715,1.1010575871046655,4.673285318353787,4,4,0,0
0.3570000000000002,0.16316855637727753,-0.0271777167560856,0.16088924607372235,0.3526588015172419,0.9692330883147297,0.980456912669786,0.9063354074327644,4,4,0,0
0.3740000000000002,0.16048035346999762,-0.004482789433055245,0.16041773109215285,2.3166334715643773,1.0906001967026453,1.1004322347166404,4.672408855273849,4,4,0,0
0.39100000000000024,0.46917603778587963,0.12404333257305211,0.4524813875471878,-3.726620591689509,0.9691961465809958,0.9803477481147983,0.904881419959974,4,4,0,0
0.40800000000000025,0.4594431040502196,0.12347120438603554,0.44254132863130735,-2.6122152480851826,1.0905663527620615,1.1003755215346902,4.672127034260085,4,4,0,0
0.42500000000000027,0.21743688700518926,0.1479564471040078,0.15933514863603193,-2.4333649869000706,0.9691689639519895,0.9795391161103711,0.8990960270904034,4,4,0,0
0.4420000000000003,0.1693230545690968,0.03245886239537299,0.1661827880997535,-1.7903337722217767,1.0905427710530078,1.099665289520544,4.671009987786893,4,4,0,0
0.4590000000000003,0.2638215482989342,0.07208018378666736,0.25378387744718367,-4.051594451004037,0.9691723592745506,0.9793457423425374,0.8996385547088706,4,4,0,0
0.4760000000000003,0.25111186467080276,0.05446902403998877,0.24513321684051448,-5.555206385156422,1.0905452409027094,1.0994946689006584,4.6711144461674055,4,4,0,0
0.4930000000000003,0.4617039254336428,0.14145110602731847,0.4395021039363556,-0.7017475970694014,0.9691598063574828,0.9790942760846331,0.8991410628324338,4,4,0,0
0.5100000000000003,0.47154791059911205,0.1872860578328499,0.4327601697612877,-2.1160841619945945,1.0905351715812461,1.0992716966090952,4.67101865666865,4,4,0,0
0.5270000000000004,0.5580457483821932,0.08805316251388717,0.5510550769739311,-1.4493173055002453,0.9691678319389716,0.9789149866705331,0.8984181297176577,4,4,0,0
0.5440000000000004,0.5593927448992255,0.1306782182586801,0.5439149256258986,-0.8413124839197286,1.0905424559763963,1.0990971299412957,4.670879550564384,4,4,0,0
0.5610000000000004,0.4111923635808722,0.08275887583934605,0.4027780137209973,-3.4231571133845553,0.9691605639254115,0.9785143146355655,0.8954652180058654,4,4,0,0
0.5780000000000004,0.4115553758639664,0.13947600870562837,0.3872005557822433,-2.3101961729048823,1.0905359327624427,1.0987004410056571,4.670312473136402,4,4,0,0
0.5950000000000004,0.3121231682309231,0.01907468316989025,0.3115397705084817,-1.689987861906914,0.9691546621372181,0.9781345503077093,0.8933926468622728,4,4,0,0
0.6120000000000004,0.3076440480923043,-0.020882399294521292,0.306934497452346,-1.0028947888073365,1.0905311266633757,1.0983991668402668,4.6699155304504965,4,4,0,0
0.6290000000000004,0.6557850231496771,0.1589379231048298,0.6362332380397504,-0.964695807719608,0.9691752551542223,0.9779088997044967,0.893521987775434,4,4,0,0
0.6460000000000005,0.6688414692703225,0.23115303118478892,0.6276282237039439,-0.3146618457508741,1.090548750184764,1.098201124086943,4.6699402761398705,4,4,0,0
0.6630000000000005,0.6685806883159123,0.13992206593384537,0.6537751542034798,-3.6004199219990465,0.9691770603270543,0.9774247311562209,0.8892537788071029,4,4,0,0
0.6800000000000005,0.6630065484364559,0.1654615719456416,0.6420281547400393,-4.482655600435033,1.0905499996975039,1.0978070829645765,4.669125498762897,4,4,0,0
0.6970000000000005,0.19263967454795855,0.04976307120081458,0.18610126532242077,-0.84120941236027,0.9691376150957803,0.9771327896204843,0.8870577720996795,4,4,0,0
0.7140000000000005,0.18544369893540924,0.025551657316242427,0.18367492557025855,0.03818543186849124,1.0905165363899498,1.0975253963021823,4.668707758161525,4,4,0,0
0.7310000000000005,0.4163756640132969,0.20915134409879954,0.3600338995763863,-1.3674878578661942,0.9691529053459822,0.9769725998554704,0.8882451262283653,4,4,0,0
